Butterflies;Treatment;Generation;Wing1;Wing2;Wing3;Wing4
A1;P. atrata;1st;99.336;94.639;92.229;83.832
A2;P. atrata;1st;76.43;76.997;80.867;74.178
A3;P. atrata;1st;90.773;92.309;84.331;86.38
A4;P. atrata;1st;88.465;80.665;81.773;81.773
A5;P. atrata;1st;118.347;119.573;108.732;111.419
A6;P. atrata;1st;110.069;109.128;99.288;102.211
A7;P. atrata;1st;121.3;116.933;115.023;113.062
A8;P. atrata;2nd;98.057;95.827;92.367;91.281
A9;P. atrata;2nd;117.254;117.033;109.097;108.322
A10;P. atrata;2nd;106.486;107.596;102.397;103.342
A11;P. atrata;2nd;100.715;100.613;94.6;97.259
P1;P. lanceolata;1st;125.16;130.707;128.784;121.14
P2;P. lanceolata;1st;109;107.576;112.403;113.583
P3;P. lanceolata;1st;108.182;106.816;107.938;103.777
P4;P. lanceolata;1st;116.417;118.22;112.12;111.613
P5;P. lanceolata;2nd;133.844;134.638;125.963;121.231
P6;P. lanceolata;2nd;124.059;126.921;118.984;119.983
P7;P. lanceolata;2nd;114.106;119.147;111.256;109.43
P8;P. lanceolata;2nd;95.441;94.671;87.1;86.298
P9;P. lanceolata;2nd;96.658;96.594;94.582;90.646
P10;P. lanceolata;2nd;119.14;118.968;114.505;115.124
P11;P. lanceolata;2nd;114.606;118.456;107.646;107.326
P12;P. lanceolata;2nd;138.996;133.845;127.994;132.898
P13;P. lanceolata;2nd;96.533;93.722;84.296;84.296
P14;P. lanceolata;2nd;132.776;130.74;124.675;123.592
P15;P. lanceolata;2nd;106.505;104.247;95.865;95.724
P16;P. lanceolata;2nd;106.236;110.863;100.112;103.455
P17;P. lanceolata;2nd;139.173;146.787;138.034;137.083
